insee,ville,lat,lon,date,tmin,tmax,pluie
680780,Eguisheim,48.0447968,7.3079618,2025-09-30,9.6,16.7,0.4
680780,Eguisheim,48.0447968,7.3079618,2025-10-01,8.6,16.9,0.0
680780,Eguisheim,48.0447968,7.3079618,2025-10-02,4.1,16.9,0.0
680780,Eguisheim,48.0447968,7.3079618,2025-10-03,3.7,15.1,0.7
680780,Eguisheim,48.0447968,7.3079618,2025-10-04,8.7,17.5,14.6
680780,Eguisheim,48.0447968,7.3079618,2025-10-05,7.9,13.5,5.0
680780,Eguisheim,48.0447968,7.3079618,2025-10-06,7.7,15.6,2.0
250560,Besancon,47.2380222,6.0243622,2025-09-30,7.7,18.6,0.8
250560,Besancon,47.2380222,6.0243622,2025-10-01,7.7,18.0,0.0
250560,Besancon,47.2380222,6.0243622,2025-10-02,6.1,16.9,0.0
250560,Besancon,47.2380222,6.0243622,2025-10-03,4.9,16.2,0.0
250560,Besancon,47.2380222,6.0243622,2025-10-04,9.6,17.5,17.3
250560,Besancon,47.2380222,6.0243622,2025-10-05,7.4,13.4,9.8
250560,Besancon,47.2380222,6.0243622,2025-10-06,7.7,15.2,0.6
212310,Dijon,47.3215806,5.0414701,2025-09-30,7.5,19.1,0.0
212310,Dijon,47.3215806,5.0414701,2025-10-01,6.5,18.1,0.0
212310,Dijon,47.3215806,5.0414701,2025-10-02,5.4,17.5,0.0
212310,Dijon,47.3215806,5.0414701,2025-10-03,5.7,16.4,0.0
212310,Dijon,47.3215806,5.0414701,2025-10-04,10.5,17.6,10.6
212310,Dijon,47.3215806,5.0414701,2025-10-05,8.0,14.6,0.9
212310,Dijon,47.3215806,5.0414701,2025-10-06,8.4,16.1,0.2
740100,Annecy,45.8992348,6.1288847,2025-09-30,5.0,19.5,0.0
740100,Annecy,45.8992348,6.1288847,2025-10-01,8.7,16.4,0.0
740100,Annecy,45.8992348,6.1288847,2025-10-02,5.0,16.2,0.0
740100,Annecy,45.8992348,6.1288847,2025-10-03,6.1,16.1,0.0
740100,Annecy,45.8992348,6.1288847,2025-10-04,8.6,17.6,17.9
740100,Annecy,45.8992348,6.1288847,2025-10-05,5.4,10.9,5.4
740100,Annecy,45.8992348,6.1288847,2025-10-06,6.0,12.5,0.0
381850,Grenoble,45.1875602,5.7357819,2025-09-30,9.6,19.2,0.0
381850,Grenoble,45.1875602,5.7357819,2025-10-01,11.2,19.6,0.0
381850,Grenoble,45.1875602,5.7357819,2025-10-02,8.5,19.6,0.0
381850,Grenoble,45.1875602,5.7357819,2025-10-03,8.1,21.4,0.0
381850,Grenoble,45.1875602,5.7357819,2025-10-04,12.2,21.9,22.2
381850,Grenoble,45.1875602,5.7357819,2025-10-05,7.6,17.0,2.4
381850,Grenoble,45.1875602,5.7357819,2025-10-06,8.4,19.1,0.0
691230,Lyon,45.7578137,4.8320114,2025-09-30,11.0,19.6,0.0
691230,Lyon,45.7578137,4.8320114,2025-10-01,12.0,20.2,0.0
691230,Lyon,45.7578137,4.8320114,2025-10-02,9.1,19.4,0.0
691230,Lyon,45.7578137,4.8320114,2025-10-03,8.9,20.6,0.0
691230,Lyon,45.7578137,4.8320114,2025-10-04,12.0,20.0,5.5
691230,Lyon,45.7578137,4.8320114,2025-10-05,6.6,15.6,0.5
691230,Lyon,45.7578137,4.8320114,2025-10-06,8.4,17.4,0.0
041440,Gorges du Verdon,43.7496562,6.3285616,2025-09-30,7.1,18.6,0.0
041440,Gorges du Verdon,43.7496562,6.3285616,2025-10-01,6.6,17.7,0.3
041440,Gorges du Verdon,43.7496562,6.3285616,2025-10-02,6.6,14.9,0.0
041440,Gorges du Verdon,43.7496562,6.3285616,2025-10-03,5.2,17.1,0.0
041440,Gorges du Verdon,43.7496562,6.3285616,2025-10-04,6.6,17.1,2.5
041440,Gorges du Verdon,43.7496562,6.3285616,2025-10-05,3.1,13.5,0.0
041440,Gorges du Verdon,43.7496562,6.3285616,2025-10-06,1.0,17.1,0.0
830190,Bormes les Mimosas,43.1506968,6.3419285,2025-09-30,8.7,23.6,0.0
830190,Bormes les Mimosas,43.1506968,6.3419285,2025-10-01,9.2,23.7,0.0
830190,Bormes les Mimosas,43.1506968,6.3419285,2025-10-02,12.9,21.2,0.0
830190,Bormes les Mimosas,43.1506968,6.3419285,2025-10-03,10.1,23.6,0.0
830190,Bormes les Mimosas,43.1506968,6.3419285,2025-10-04,11.7,23.9,0.7
830190,Bormes les Mimosas,43.1506968,6.3419285,2025-10-05,12.4,19.6,0.0
830190,Bormes les Mimosas,43.1506968,6.3419285,2025-10-06,11.4,22.6,0.0
130220,Cassis,43.2140359,5.5396318,2025-09-30,11.7,23.5,0.1
130220,Cassis,43.2140359,5.5396318,2025-10-01,13.1,24.4,0.0
130220,Cassis,43.2140359,5.5396318,2025-10-02,14.0,22.1,0.0
130220,Cassis,43.2140359,5.5396318,2025-10-03,12.2,23.1,0.0
130220,Cassis,43.2140359,5.5396318,2025-10-04,14.9,24.2,0.6
130220,Cassis,43.2140359,5.5396318,2025-10-05,12.6,20.6,0.0
130220,Cassis,43.2140359,5.5396318,2025-10-06,12.1,20.6,0.0
130550,Marseille,43.2961743,5.3699525,2025-09-30,12.7,23.6,0.1
130550,Marseille,43.2961743,5.3699525,2025-10-01,13.9,23.0,0.0
130550,Marseille,43.2961743,5.3699525,2025-10-02,15.5,21.7,0.0
130550,Marseille,43.2961743,5.3699525,2025-10-03,14.2,21.6,0.0
130550,Marseille,43.2961743,5.3699525,2025-10-04,15.0,24.1,0.4
130550,Marseille,43.2961743,5.3699525,2025-10-05,13.4,20.5,0.0
130550,Marseille,43.2961743,5.3699525,2025-10-06,12.9,20.0,0.0
130010,Aix en Provence,43.5298424,5.4474738,2025-09-30,8.9,23.7,0.0
130010,Aix en Provence,43.5298424,5.4474738,2025-10-01,9.1,24.4,0.0
130010,Aix en Provence,43.5298424,5.4474738,2025-10-02,10.7,21.5,0.0
130010,Aix en Provence,43.5298424,5.4474738,2025-10-03,9.7,22.2,0.0
130010,Aix en Provence,43.5298424,5.4474738,2025-10-04,11.4,23.1,0.9
130010,Aix en Provence,43.5298424,5.4474738,2025-10-05,8.9,17.4,0.0
130010,Aix en Provence,43.5298424,5.4474738,2025-10-06,8.6,18.7,0.0
840070,Avignon,43.9492493,4.8059012,2025-09-30,13.6,21.6,0.0
840070,Avignon,43.9492493,4.8059012,2025-10-01,13.6,21.0,0.0
840070,Avignon,43.9492493,4.8059012,2025-10-02,10.7,20.7,0.0
840070,Avignon,43.9492493,4.8059012,2025-10-03,7.6,21.2,0.0
840070,Avignon,43.9492493,4.8059012,2025-10-04,11.0,22.5,0.4
840070,Avignon,43.9492493,4.8059012,2025-10-05,8.2,18.6,0.0
840070,Avignon,43.9492493,4.8059012,2025-10-06,9.2,19.1,0.0
303340,Uzes,44.0121279,4.4196718,2025-09-30,9.6,23.6,0.0
303340,Uzes,44.0121279,4.4196718,2025-10-01,11.6,22.4,0.0
